runtime_s,timestamp_us,timestamp_str,ir1,ir2,ir3,ir4,ir5,ir6,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
17.963925,17636065,17:636:065,0,0,0,0,0,0,0.979,-0.041,9.749,0.129,-0.040,0.003
18.063917,17736064,17:736:064,0,0,0,0,0,0,0.979,-0.041,9.749,0.129,-0.040,0.003
18.163087,17836034,17:836:034,0,0,0,0,0,0,0.972,-0.026,9.720,0.129,-0.041,0.003
18.262964,17936034,17:936:034,0,0,0,0,0,0,0.974,-0.034,9.728,0.128,-0.041,0.004
18.362616,18036043,18:036:043,0,0,0,0,0,0,0.960,-0.010,9.752,0.128,-0.041,0.004
18.463890,18136050,18:136:050,0,0,0,0,0,0,0.960,-0.010,9.752,0.128,-0.041,0.004
18.563766,18236036,18:236:036,0,0,0,0,0,0,0.960,-0.010,9.752,0.128,-0.041,0.004
18.663577,18336060,18:336:060,0,0,0,0,0,0,0.960,-0.010,9.752,0.128,-0.041,0.004
18.763934,18436033,18:436:033,0,0,0,0,0,0,0.953,-0.034,9.737,0.128,-0.041,0.004
18.863587,18536036,18:536:036,0,0,0,0,0,0,0.953,-0.034,9.737,0.128,-0.041,0.004
18.971307,18640724,18:640:724,0,0,0,0,0,0,0.953,-0.034,9.737,0.128,-0.041,0.004
19.070422,18740037,18:740:037,0,0,0,0,0,0,0.953,-0.034,9.737,0.128,-0.041,0.004
19.163006,18840069,18:840:069,0,0,0,0,0,0,0.962,-0.019,9.725,0.128,-0.041,0.004
